,Location,Total Cases,Total Deaths,Total Recovered
18656,Sulawesi Selatan,105688,2066,99414
18657,Sulawesi Tengah,43562,1419,37641
18658,Sulawesi Tenggara,19766,497,18262
18659,Sulawesi Utara,32812,971,29714
18660,Sumatera Barat,87374,2019,80849
18661,Sumatera Selatan,58312,2934,53527
18662,Sumatera Utara,98826,2449,77123
18663,Aceh,34402,1555,26141
18664,Bali,108555,3616,99687
18665,Banten,129757,2629,124406
18666,Bengkulu,22682,449,21145
18667,DKI Jakarta,852692,13362,833719
18668,Daerah Istimewa Yogyakarta,151664,4970,138096
18669,Gorontalo,11343,440,10332
18671,Jambi,28682,726,25959
18672,Jawa Barat,694712,13803,668243
18673,Jawa Tengah,473276,28964,424539
18674,Jawa Timur,387051,28702,350250
18675,Kalimantan Barat,37162,981,35480
18676,Kalimantan Selatan,67190,2225,61379
18677,Kalimantan Tengah,43858,1326,38694
18678,Kalimantan Timur,152722,5174,142187
18679,Kalimantan Utara,32880,710,28632
18680,Kepulauan Bangka Belitung,48328,1269,43425
18681,Kepulauan Riau,52599,1672,49871
18682,Lampung,47360,3570,40554
18683,Maluku,14347,253,13742
18684,Maluku Utara,11832,300,11216
18685,Nusa Tenggara Barat,26325,740,24655
18686,Nusa Tenggara Timur,60371,1226,56633
18687,Papua,32703,522,19760
18688,Papua Barat,22553,346,21999
18689,Riau,124904,3826,117271
18690,Sulawesi Barat,11738,312,10543
18691,Sulawesi Selatan,105829,2088,99798
18692,Sulawesi Tengah,43707,1428,37936
18693,Sulawesi Tenggara,19769,499,18284
18694,Sulawesi Utara,32883,975,29832
18695,Sumatera Barat,87494,2020,81058
18696,Sumatera Selatan,58402,2941,53663
18697,Sumatera Utara,99219,2455,77654
18698,Aceh,34566,1565,26443
18699,Bali,108763,3633,100041
18700,Banten,129861,2632,124637
18701,Bengkulu,22701,449,21266
18702,DKI Jakarta,852909,13378,834455
18703,Daerah Istimewa Yogyakarta,151862,4985,138744
18704,Gorontalo,11351,444,10428
18706,Jambi,28722,729,26137
18707,Jawa Barat,695117,13983,669946
18708,Jawa Tengah,474027,29035,425540
18709,Jawa Timur,387412,28780,351221
18710,Kalimantan Barat,37240,985,35660
18711,Kalimantan Selatan,67282,2239,61867
18712,Kalimantan Tengah,43926,1332,38886
18713,Kalimantan Timur,152911,5188,142901
18714,Kalimantan Utara,32959,715,29085
18715,Kepulauan Bangka Belitung,48482,1275,43724
18716,Kepulauan Riau,52680,1677,49970
18717,Lampung,47490,3604,40951
18718,Maluku,14366,253,13748
18719,Maluku Utara,11839,300,11222
18720,Nusa Tenggara Barat,26375,746,24768
18721,Nusa Tenggara Timur,60502,1229,56993
18722,Papua,32741,522,19775
18723,Papua Barat,22574,346,22035
18724,Riau,125052,3854,117746
18725,Sulawesi Barat,11753,317,10596
18726,Sulawesi Selatan,105938,2100,100195
18727,Sulawesi Tengah,43890,1437,38335
18728,Sulawesi Tenggara,19774,504,18474
18729,Sulawesi Utara,32935,979,29918
18730,Sumatera Barat,87536,2030,81252
18731,Sumatera Selatan,58458,2948,53828
18732,Sumatera Utara,99410,2490,79029
18733,Aceh,34845,1595,26863
18734,Bali,109058,3654,100433
18735,Banten,129948,2633,125005
18736,Bengkulu,22758,452,21392
18737,DKI Jakarta,853171,13391,834986
18738,Daerah Istimewa Yogyakarta,152114,4997,139532
18739,Gorontalo,11389,444,10504
18741,Jambi,28776,734,26310
18742,Jawa Barat,695895,14235,672793
18743,Jawa Tengah,474991,29151,426654
18744,Jawa Timur,388087,28859,352218
18745,Kalimantan Barat,37494,986,35898
18746,Kalimantan Selatan,67515,2245,62379
